gmd,channel,bunch,aligned_trains,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,0,0,4330,4330,4330,1.0,0.13789455592632294,0.3948289632797241,2.465918779373169,11.45564350128174,15.791040420532227
hall,0,1,4330,4330,4330,1.0,0.0745091587305069,0.4470203906297684,2.7073845863342285,11.684922418594363,16.762619018554688
hall,0,2,4330,4330,4330,1.0,0.12414972484111786,0.5011941707134246,3.0119433403015137,12.04439829826355,18.970630645751953
hall,0,3,4330,4330,4330,1.0,0.14775516092777252,0.5274970626831055,3.1651782989501953,12.469413671493532,16.470455169677734
hall,0,4,4330,4330,4330,1.0,0.16315993666648865,0.5221040749549866,3.233020544052124,12.26436908721924,17.238540649414062
hall,0,5,4330,4330,4330,1.0,0.0178300142288208,0.5589813083410263,3.1751166582107544,12.040908794403077,17.637535095214844
hall,0,6,4330,4330,4330,1.0,0.019316675141453743,0.5488316679000854,3.225231409072876,12.05140374183655,16.487594604492188
hall,0,7,4330,4330,4330,1.0,0.00921297911554575,0.5983038955926895,3.209451913833618,12.04237892150879,16.187593460083008
hall,0,8,4330,4330,4330,1.0,0.19503074884414673,0.568102844953537,3.252003788948059,12.368088798522951,18.8273983001709
hall,0,9,4330,4330,4330,1.0,0.1104002594947815,0.5326467996835709,3.23437762260437,12.132750186920166,17.23998260498047
hall,0,10,4330,4330,4330,1.0,0.08026411384344101,0.49211097121238706,3.168926477432251,12.0203026008606,18.218914031982422
hall,0,11,4330,4330,4330,1.0,0.028428159654140472,0.5519047868251801,3.159970760345459,11.858507585525514,17.694358825683594
hall,0,12,4330,4330,4330,1.0,0.09681681543588638,0.5156985551118851,3.1508443355560303,12.24910870552063,15.460723876953125
hall,0,13,4330,4330,4330,1.0,0.09799465537071228,0.5351645243167877,3.2327336072921753,12.06766887664795,18.611812591552734
hall,0,14,4330,4330,4330,1.0,0.15222355723381042,0.5455894815921783,3.320283889770508,12.25548707962036,17.01382827758789
hall,0,15,4330,4330,4330,1.0,0.052571967244148254,0.6065849357843399,3.2027852535247803,12.104820184707641,16.6854190826416
hall,0,16,4330,4330,4330,1.0,0.034033261239528656,0.5191317480802536,3.2658164501190186,12.220574197769166,16.731264114379883
hall,0,17,4330,4330,4330,1.0,0.09630140662193298,0.5664035254716873,3.1567139625549316,11.94332501411438,17.781282424926758
hall,0,18,4330,4330,4330,1.0,0.013658402487635612,0.5309282869100571,3.1945760250091553,11.351176815032959,16.48927879333496
hall,0,19,4330,4330,4330,1.0,0.048561420291662216,0.4971877562999725,3.1440433263778687,12.164632959365845,17.94853401184082
hall,0,20,4330,4330,4330,1.0,0.08523616194725037,0.5424844342470169,3.1034984588623047,11.44232056617737,17.268028259277344
hall,0,21,4330,4330,4330,1.0,0.09437964111566544,0.5152417713403702,3.077026128768921,11.810848388671877,16.620223999023438
hall,0,22,4330,4330,4330,1.0,0.11124833673238754,0.5661579239368438,3.1429646015167236,11.679920644760132,15.656702041625977
hall,0,23,4330,4330,4330,1.0,0.15298055112361908,0.5278901195526123,3.0101571083068848,11.638456258773806,17.42023468017578
hall,0,24,4330,4330,4330,1.0,0.06215539574623108,0.4938481414318085,3.0578432083129883,11.05577907562256,16.182207107543945
hall,0,25,4330,4330,4330,1.0,0.0538766011595726,0.5201674681901932,3.0715394020080566,11.068537139892578,14.807376861572266
hall,0,26,4330,4330,4330,1.0,0.06796988099813461,0.5252559763193131,3.1013965606689453,10.904074974060059,15.004131317138672
hall,0,27,4330,4330,4330,1.0,0.02554507926106453,0.5169149464368821,3.097162961959839,11.213832054138186,15.477005004882812
hall,0,28,4330,4330,4330,1.0,0.1602768450975418,0.48371188521385194,3.11931049823761,10.987823371887208,14.564559936523438
hall,0,29,4330,4330,4330,1.0,0.17293664813041687,0.5300370419025421,3.0862613916397095,11.215296630859376,15.907953262329102
hall,1,0,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,1,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,2,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,3,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,4,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,5,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,6,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,7,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,8,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,9,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,10,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,11,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,12,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,13,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,14,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,15,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,16,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,17,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,18,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,19,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,20,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,21,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,22,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,23,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,24,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,25,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,26,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,27,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,28,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,1,29,4330,4330,4330,1.0,0.0,0.0,0.0,0.0,0.0
hall,2,0,4330,4330,4330,1.0,-0.05130823329091072,0.012442573700100183,0.05197940021753311,0.12190413765609265,0.26505741477012634
hall,2,1,4330,4330,4330,1.0,-0.10159967839717865,0.016376563012599946,0.051659828051924706,0.12151295848190787,0.26350167393684387
hall,2,2,4330,4330,4330,1.0,-0.09340942651033401,0.017599094919860364,0.0512221734970808,0.10688226923346521,0.2647411525249481
hall,2,3,4330,4330,4330,1.0,-0.10794943571090698,0.017874187175184488,0.05030782334506512,0.11287957899272444,0.32843032479286194
