gmd,channel,raw_shape,aligned_trains,vls_bunch_start,vls_bunch_stop,gmd_bunch_start,gmd_bunch_stop,bunch_count,sample_n,finite_n,finite_fraction,min,p01,median,p99,max
hall,0,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.00921297911554575,0.5193674421310425,3.11581552028656,11.87785334587097,18.970630645751953
hall,1,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
hall,2,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,-0.5519421696662903,0.0185399760119617,0.05059802904725075,0.10742364555597303,0.7359826564788818
hall,3,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
hall,4,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.04615795612335205,0.05558871753513813,0.07031092047691345,0.0979362279176712,0.34702035784721375
hall,5,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
hall,6,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
hall,7,"(4513, 8, 30)",4330,10,40,0,30,30,129900,4330,0.03333333333333333,0.0,0.0,0.0,4096.0,4096.0
tunnel,0,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,-0.8860543966293335,0.5834147077798844,4.58279824256897,17.493904743194573,28.003135681152344
tunnel,1,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
tunnel,2,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,-14.63325309753418,-1.8613664567470551,0.055704422295093536,1.5535792601108542,13.20224666595459
tunnel,3,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
tunnel,4,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.26005759835243225,0.304537832736969,0.3694968819618225,0.46745553612709045,2.2757418155670166
tunnel,5,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
tunnel,6,"(4513, 8, 30)",4330,10,40,0,30,30,129900,129900,1.0,0.0,0.0,0.0,0.0,0.0
tunnel,7,"(4513, 8, 30)",4330,10,40,0,30,30,129900,4330,0.03333333333333333,0.0,0.0,0.0,4096.0,4096.0
