path,index_path,value_path,index_shape,value_shape,index_dtype,value_dtype,index_len,gotthard_master_len,sample_ratio_vs_gotthard,matched_gotthard_trains,match_fraction_of_gotthard,exact_gotthard_order,time_resolution,sample_n,finite_n,finite_fraction,min,p01,median,p99,max,unique_n_sample
/Electron Diagnostic/Undulator setting/SASE02 gap,/Electron Diagnostic/Undulator setting/SASE02 gap/index,/Electron Diagnostic/Undulator setting/SASE02 gap/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,15.88900089263916,15.88900089263916,15.908000946044922,15.926000595092773,15.926000595092773,4
/Electron Diagnostic/Undulator setting/SASE02 k value,/Electron Diagnostic/Undulator setting/SASE02 k value/index,/Electron Diagnostic/Undulator setting/SASE02 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.354708194732666,1.354708194732666,1.357254147529602,1.3599469661712646,1.3599469661712646,4
/Electron Diagnostic/Undulator setting/SASE03 k value,/Electron Diagnostic/Undulator setting/SASE03 k value/index,/Electron Diagnostic/Undulator setting/SASE03 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3547255992889404,1.3547255992889404,1.357276439666748,1.3599743843078613,1.3599743843078613,4
/Electron Diagnostic/Undulator setting/SASE04 k value,/Electron Diagnostic/Undulator setting/SASE04 k value/index,/Electron Diagnostic/Undulator setting/SASE04 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3546315431594849,1.3546315431594849,1.3571841716766357,1.3598841428756714,1.3598841428756714,4
/Electron Diagnostic/Undulator setting/SASE05 k value,/Electron Diagnostic/Undulator setting/SASE05 k value/index,/Electron Diagnostic/Undulator setting/SASE05 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3546314239501953,1.3546314239501953,1.3571866750717163,1.359889268875122,1.359889268875122,4
/Electron Diagnostic/Undulator setting/SASE06 k value,/Electron Diagnostic/Undulator setting/SASE06 k value/index,/Electron Diagnostic/Undulator setting/SASE06 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3546242713928223,1.3546242713928223,1.3571745157241821,1.3598718643188477,1.3598718643188477,4
/Electron Diagnostic/Undulator setting/SASE07 k value,/Electron Diagnostic/Undulator setting/SASE07 k value/index,/Electron Diagnostic/Undulator setting/SASE07 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3546677827835083,1.3546677827835083,1.3572208881378174,1.3599212169647217,1.3599212169647217,4
/Electron Diagnostic/Undulator setting/SASE08 k value,/Electron Diagnostic/Undulator setting/SASE08 k value/index,/Electron Diagnostic/Undulator setting/SASE08 k value/value,"(64,)","(64,)",uint32,float32,64,4330,0.014780600461893764,59,0.013625866050808315,0,sparse_train_indexed_monitor,64,64,1.0,1.3547030687332153,1.3547030687332153,1.3572559356689453,1.3599560260772705,1.3599560260772705,4
/Electron Diagnostic/Undulator setting/SASE09 k value,/Electron Diagnostic/Undulator setting/SASE09 k value/index,/Electron Diagnostic/Undulator setting/SASE09 k value/value,"(65,)","(65,)",uint32,float32,65,4330,0.015011547344110854,60,0.013856812933025405,0,sparse_train_indexed_monitor,65,65,1.0,1.3546764850616455,1.3546764850616455,1.357224464416504,1.3599190711975098,1.3599190711975098,4
/Electron Diagnostic/Undulator setting/SASE10 k value,/Electron Diagnostic/Undulator setting/SASE10 k value/index,/Electron Diagnostic/Undulator setting/SASE10 k value/value,"(64,)","(64,)",uint32,float32,64,4330,0.014780600461893764,59,0.013625866050808315,0,sparse_train_indexed_monitor,64,64,1.0,1.3546494245529175,1.3546494245529175,1.3571950197219849,1.3598873615264893,1.3598873615264893,4
/Electron Diagnostic/Undulator setting/SASE11 k value,/Electron Diagnostic/Undulator setting/SASE11 k value/index,/Electron Diagnostic/Undulator setting/SASE11 k value/value,"(64,)","(64,)",uint32,float32,64,4330,0.014780600461893764,59,0.013625866050808315,0,sparse_train_indexed_monitor,64,64,1.0,1.3547284603118896,1.3547284603118896,1.3572746515274048,1.3599674701690674,1.3599674701690674,5
/Electron Diagnostic/Undulator setting/SASE12 k value,/Electron Diagnostic/Undulator setting/SASE12 k value/index,/Electron Diagnostic/Undulator setting/SASE12 k value/value,"(64,)","(64,)",uint32,float32,64,4330,0.014780600461893764,59,0.013625866050808315,0,sparse_train_indexed_monitor,64,64,1.0,1.3546721935272217,1.3546721935272217,1.357222080230713,1.3599189519882202,1.3599189519882202,5
/Electron Diagnostic/Undulator setting/SASE13 k value,/Electron Diagnostic/Undulator setting/SASE13 k value/index,/Electron Diagnostic/Undulator setting/SASE13 k value/value,"(66,)","(66,)",uint32,float32,66,4330,0.015242494226327945,61,0.014087759815242495,0,sparse_train_indexed_monitor,66,66,1.0,1.3547558784484863,1.3547558784484863,1.3571631908416748,1.3598591089248657,1.3598591089248657,5
/Electron Diagnostic/Undulator setting/afterburner gap,/Electron Diagnostic/Undulator setting/afterburner gap/index,/Electron Diagnostic/Undulator setting/afterburner gap/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,219.99900817871094,219.99900817871094,219.99900817871094,219.99900817871094,219.99900817871094,1
/Electron Diagnostic/Undulator setting/afterburner shift,/Electron Diagnostic/Undulator setting/afterburner shift/index,/Electron Diagnostic/Undulator setting/afterburner shift/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-2.9999999242136255e-05,-2.9999999242136255e-05,-2.9999999242136255e-05,-2.9999999242136255e-05,-2.9999999242136255e-05,1
/Electron Diagnostic/Undulator setting/gap error,/Electron Diagnostic/Undulator setting/gap error/index,/Electron Diagnostic/Undulator setting/gap error/value,"(64,)","(64,)",uint32,float32,64,4330,0.014780600461893764,59,0.013625866050808315,0,sparse_train_indexed_monitor,64,64,1.0,0.0,0.0,0.0,1.0,1.0,2
/Electron Diagnostic/Undulator setting/set wavelength 1,/Electron Diagnostic/Undulator setting/set wavelength 1/index,/Electron Diagnostic/Undulator setting/set wavelength 1/value,"(68,)","(68,)",uint32,float32,68,4330,0.015704387990762125,63,0.014549653579676674,0,sparse_train_indexed_monitor,68,68,1.0,4.5750627517700195,4.5750627517700195,4.583519458770752,4.592007637023926,4.592007637023926,8
/Electron Diagnostic/Undulator setting/set wavelength 2,/Electron Diagnostic/Undulator setting/set wavelength 2/index,/Electron Diagnostic/Undulator setting/set wavelength 2/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,1
/FL1/Beamlines/Attenuator/pressure aux,/FL1/Beamlines/Attenuator/pressure aux/index,/FL1/Beamlines/Attenuator/pressure aux/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL1/Electron Diagnostic/Bunch charge/at gun,/FL1/Electron Diagnostic/Bunch charge/at gun/index,/FL1/Electron Diagnostic/Bunch charge/at gun/value,"(4513,)","(4513, 802)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_array,199698,199698,1.0,-0.0008500000112690032,-0.00044999999227002263,0.0,0.10040000081062317,0.10294999927282333,132
/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 3/delay,/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 3/delay/index,/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 3/delay/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,336815.0,336815.0,336815.0,336815.0,336815.0,1
/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 5/delay,/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 5/delay/index,/FL1/Experiment/BL1/ADQ412 GHz ADC/Backplane trigger 5/delay/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,335949.0,335949.0,335949.0,335949.0,335949.0,1
/FL1/Experiment/BL1/CAMP/Even Lavie Valve/jet delay,/FL1/Experiment/BL1/CAMP/Even Lavie Valve/jet delay/index,/FL1/Experiment/BL1/CAMP/Even Lavie Valve/jet delay/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,336896.0,336896.0,336896.0,336896.0,336896.0,1
/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 3/delay,/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 3/delay/index,/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 3/delay/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,336927.0,336927.0,336927.0,336927.0,336927.0,1
/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 5/delay,/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 5/delay/index,/FL1/Experiment/BL2/ADQ412 GHz ADC/Backplane trigger 5/delay/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,335949.0,335949.0,335949.0,335949.0,335949.0,1
/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 OUTPUT,/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 OUTPUT/index,/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 OUTPUT/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 RANGE.CODE,/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 RANGE.CODE/index,/FL1/Photon Diagnostic/GMD/Expert stuff/TUNNEL/Keithley/K6517 RANGE.CODE/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL2/Beamlines/Attenuator/gas type,/FL2/Beamlines/Attenuator/gas type/index,/FL2/Beamlines/Attenuator/gas type/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.0,1.0,1.0,1.0,1.0,1
/FL2/Beamlines/Attenuator/pressure,/FL2/Beamlines/Attenuator/pressure/index,/FL2/Beamlines/Attenuator/pressure/value,"(411,)","(411,)",uint32,float32,411,4330,0.09491916859122401,390,0.09006928406466513,0,sparse_train_indexed_monitor,411,411,1.0,-0.000934988260269165,-0.0009249895811080933,-0.0008824914693832397,-0.0008276231586933136,-0.000804997980594635,78
/FL2/Beamlines/Fast Shutter/shutter,/FL2/Beamlines/Fast Shutter/shutter/index,/FL2/Beamlines/Fast Shutter/shutter/value,"(4513,)","(4513, 100)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_matrix_small_axis,200000,200000,1.0,0.0024000389967113733,0.008400038816034794,0.9865599870681763,0.9916000366210938,0.9985600113868713,413
/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 1,/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 1/index,/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 1/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.0,1.0,1.0,1.0,1.0,1
/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 2,/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 2/index,/FL2/Beamlines/Filters/3rd harmonic transmission filter wheel 2/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.0,1.0,1.0,1.0,1.0,1
/FL2/Beamlines/Filters/fundamental transmission filter wheel 1,/FL2/Beamlines/Filters/fundamental transmission filter wheel 1/index,/FL2/Beamlines/Filters/fundamental transmission filter wheel 1/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.0,1.0,1.0,1.0,1.0,1
/FL2/Beamlines/Filters/fundamental transmission filter wheel 2,/FL2/Beamlines/Filters/fundamental transmission filter wheel 2/index,/FL2/Beamlines/Filters/fundamental transmission filter wheel 2/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.0,1.0,1.0,1.0,1.0,1
/FL2/Beamlines/Filters/position filter 1,/FL2/Beamlines/Filters/position filter 1/index,/FL2/Beamlines/Filters/position filter 1/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL2/Beamlines/Filters/position filter 2,/FL2/Beamlines/Filters/position filter 2/index,/FL2/Beamlines/Filters/position filter 2/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL2/Beamlines/Hall Apertures/position aperture3 horizontal,/FL2/Beamlines/Hall Apertures/position aperture3 horizontal/index,/FL2/Beamlines/Hall Apertures/position aperture3 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL2/Beamlines/Hall Apertures/position aperture3 vertical,/FL2/Beamlines/Hall Apertures/position aperture3 vertical/index,/FL2/Beamlines/Hall Apertures/position aperture3 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,69.1500015258789,69.1500015258789,69.1500015258789,69.1500015258789,69.1500015258789,1
/FL2/Beamlines/Hall Apertures/position aperture4 horizontal,/FL2/Beamlines/Hall Apertures/position aperture4 horizontal/index,/FL2/Beamlines/Hall Apertures/position aperture4 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-2.1999599933624268,-2.1999599933624268,-2.1999599933624268,-2.1999599933624268,-2.1999599933624268,1
/FL2/Beamlines/Hall Apertures/position aperture4 vertical,/FL2/Beamlines/Hall Apertures/position aperture4 vertical/index,/FL2/Beamlines/Hall Apertures/position aperture4 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,50.78999710083008,50.78999710083008,50.78999710083008,50.78999710083008,50.78999710083008,1
/FL2/Beamlines/Hall Apertures/position aperture5 horizontal,/FL2/Beamlines/Hall Apertures/position aperture5 horizontal/index,/FL2/Beamlines/Hall Apertures/position aperture5 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.1499999314546585,0.1499999314546585,0.1499999314546585,0.1499999314546585,0.1499999314546585,1
/FL2/Beamlines/Hall Apertures/position aperture5 vertical,/FL2/Beamlines/Hall Apertures/position aperture5 vertical/index,/FL2/Beamlines/Hall Apertures/position aperture5 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,139.22000122070312,139.22000122070312,139.22000122070312,139.22000122070312,139.22000122070312,1
/FL2/Beamlines/Hall Apertures/position aperture6 horizontal,/FL2/Beamlines/Hall Apertures/position aperture6 horizontal/index,/FL2/Beamlines/Hall Apertures/position aperture6 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-3.4595000743865967,-3.4595000743865967,-3.4595000743865967,-3.4595000743865967,-3.4595000743865967,1
/FL2/Beamlines/Hall Apertures/position aperture6 vertical,/FL2/Beamlines/Hall Apertures/position aperture6 vertical/index,/FL2/Beamlines/Hall Apertures/position aperture6 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.5999999642372131,0.5999999642372131,0.5999999642372131,0.5999999642372131,0.5999999642372131,1
/FL2/Beamlines/Hall Mirrors/position  FL20M3 rotation,/FL2/Beamlines/Hall Mirrors/position  FL20M3 rotation/index,/FL2/Beamlines/Hall Mirrors/position  FL20M3 rotation/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-1.8899996280670166,-1.8899996280670166,-1.8899996280670166,-1.8899996280670166,-1.8899996280670166,1
/FL2/Beamlines/Hall Mirrors/position FL20M3 horizontal,/FL2/Beamlines/Hall Mirrors/position FL20M3 horizontal/index,/FL2/Beamlines/Hall Mirrors/position FL20M3 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.0,0.0,0.0,0.0,0.0,1
/FL2/Beamlines/Hall Mirrors/position FL20M3 vertical,/FL2/Beamlines/Hall Mirrors/position FL20M3 vertical/index,/FL2/Beamlines/Hall Mirrors/position FL20M3 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-13.999999046325684,-13.999999046325684,-13.999999046325684,-13.999999046325684,-13.999999046325684,1
/FL2/Beamlines/Hall Mirrors/position KAOS premirror vertical,/FL2/Beamlines/Hall Mirrors/position KAOS premirror vertical/index,/FL2/Beamlines/Hall Mirrors/position KAOS premirror vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,3800000.0,3800000.0,3800000.0,3800000.0,3800000.0,1
/FL2/Beamlines/Photon Shutter/status PS0,/FL2/Beamlines/Photon Shutter/status PS0/index,/FL2/Beamlines/Photon Shutter/status PS0/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,2.0,2.0,2.0,2.0,2.0,1
/FL2/Beamlines/Photon Shutter/status PS1,/FL2/Beamlines/Photon Shutter/status PS1/index,/FL2/Beamlines/Photon Shutter/status PS1/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,2.0,2.0,2.0,2.0,2.0,1
/FL2/Beamlines/Photon Shutter/status PS2,/FL2/Beamlines/Photon Shutter/status PS2/index,/FL2/Beamlines/Photon Shutter/status PS2/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,2.0,2.0,2.0,2.0,2.0,1
/FL2/Beamlines/Tunnel Apertures/position aperture1 horizontal,/FL2/Beamlines/Tunnel Apertures/position aperture1 horizontal/index,/FL2/Beamlines/Tunnel Apertures/position aperture1 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,1.7000000476837158,1
/FL2/Beamlines/Tunnel Apertures/position aperture1 vertical,/FL2/Beamlines/Tunnel Apertures/position aperture1 vertical/index,/FL2/Beamlines/Tunnel Apertures/position aperture1 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,24.999971389770508,24.999971389770508,24.999971389770508,24.999971389770508,24.999971389770508,1
/FL2/Beamlines/Tunnel Apertures/position aperture2 horizontal,/FL2/Beamlines/Tunnel Apertures/position aperture2 horizontal/index,/FL2/Beamlines/Tunnel Apertures/position aperture2 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-2.629999876022339,-2.629999876022339,-2.629999876022339,-2.629999876022339,-2.629999876022339,1
/FL2/Beamlines/Tunnel Apertures/position aperture2 vertical,/FL2/Beamlines/Tunnel Apertures/position aperture2 vertical/index,/FL2/Beamlines/Tunnel Apertures/position aperture2 vertical/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,24.0,24.0,24.0,24.0,24.0,1
/FL2/Beamlines/Tunnel Mirrors/position Mirror1 horizontal,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 horizontal/index,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 horizontal/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,-0.7999973893165588,-0.7999973893165588,-0.7999973893165588,-0.7999973893165588,-0.7999973893165588,1
/FL2/Beamlines/Tunnel Mirrors/position Mirror1 roll,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 roll/index,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 roll/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,4.549987316131592,4.549987316131592,4.549987316131592,4.549987316131592,4.549987316131592,1
/FL2/Beamlines/Tunnel Mirrors/position Mirror1 rotation,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 rotation/index,/FL2/Beamlines/Tunnel Mirrors/position Mirror1 rotation/value,"(62,)","(62,)",uint32,float32,62,4330,0.014318706697459584,57,0.013163972286374134,0,sparse_train_indexed_monitor,62,62,1.0,0.47000011801719666,0.47000011801719666,0.47000011801719666,0.47000011801719666,0.47000011801719666,1
