path,index_path,value_path,index_shape,value_shape,index_dtype,value_dtype,index_len,gotthard_master_len,sample_ratio_vs_gotthard,matched_gotthard_trains,match_fraction_of_gotthard,exact_gotthard_order,time_resolution,sample_n,finite_n,finite_fraction,min,p01,median,p99,max,unique_n_sample
/FL1/Electron Diagnostic/Bunch charge/at gun,/FL1/Electron Diagnostic/Bunch charge/at gun/index,/FL1/Electron Diagnostic/Bunch charge/at gun/value,"(4513,)","(4513, 802)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_array,199698,199698,1.0,-0.0008500000112690032,-0.00044999999227002263,0.0,0.10040000081062317,0.10294999927282333,132
/FL2/Beamlines/Fast Shutter/shutter,/FL2/Beamlines/Fast Shutter/shutter/index,/FL2/Beamlines/Fast Shutter/shutter/value,"(4513,)","(4513, 100)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_matrix_small_axis,200000,200000,1.0,0.0024000389967113733,0.008400038816034794,0.9865599870681763,0.9916000366210938,0.9985600113868713,413
/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy hall,/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy hall/index,/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy hall/value,"(4513,)","(4513, 8, 30)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,pulse_resolved_bunch_multi_channel,199920,175763,0.8791666666666667,-0.09316489100456238,0.0,0.0,8.289580097198494,4096.0,54855
/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy tunnel,/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy tunnel/index,/FL2/Photon Diagnostic/GMD/Pulse resolved energy/energy tunnel/value,"(4513,)","(4513, 8, 30)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,pulse_resolved_bunch_multi_channel,199920,175763,0.8791666666666667,-13.706068992614746,-0.6693111717700957,0.0,12.148376178741456,4096.0,52231
/FL2/Support Infrastructure/Gotthard/images,/FL2/Support Infrastructure/Gotthard/images/index,/FL2/Support Infrastructure/Gotthard/images/value,"(4330,)","(4330, 110, 1280)",uint32,uint16,4330,4330,1.0,4330,1.0,1,gotthard_master_image,140800,140800,1.0,1215.0,2654.0,2919.0,4792.0,51914.0,2687
/Timing/bunch pattern,/Timing/bunch pattern/index,/Timing/bunch pattern/value,"(4513,)","(4513, 7222)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_array,194994,194994,1.0,-7.368671922713478e-40,0.0,0.0,2.3514191805328156e-38,2.3514191805328156e-38,6
/Timing/event ID,/Timing/event ID/index,/Timing/event ID/value,"(4513,)","(4513,)",uint32,int64,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_scalar,4513,4513,1.0,2657120149.0,2657120194.12,2657122405.0,2657124615.88,2657124661.0,4513
/Timing/set number of bunches flash1,/Timing/set number of bunches flash1/index,/Timing/set number of bunches flash1/value,"(4513,)","(4513, 4)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_matrix_small_axis,18052,18052,1.0,0.0,0.0,0.0,1215.0,1215.0,2
/Timing/set number of bunches flash2,/Timing/set number of bunches flash2/index,/Timing/set number of bunches flash2/value,"(4513,)","(4513, 4)",uint32,float32,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_matrix_small_axis,18052,18052,1.0,30.0,30.0,625.5,6007.0,6007.0,4
/Timing/set repetition rate flash1,/Timing/set repetition rate flash1/index,/Timing/set repetition rate flash1/value,"(4513,)","(4513,)",uint32,float64,4513,4330,1.0422632794457274,4330,1.0,0,train_resolved_scalar,4513,4513,1.0,0.0,0.0,0.0,0.0,0.0,1
